CLASS_QNAME;NODA;NOPA;NOPRA;NODM;NOPM;NOPRM;DNIF
org.apache.commons.io.input.NullInputStream;7.0;0.0;7.0;14.0;11.0;1.0;1.0
org.apache.commons.io.comparator.LastModifiedFileComparator;3.0;2.0;1.0;1.0;1.0;0.0;1.0
org.apache.commons.io.TaggedIOException;2.0;0.0;2.0;4.0;4.0;0.0;1.0
org.apache.commons.io.input.UnixLineEndingInputStream;5.0;0.0;5.0;5.0;3.0;2.0;1.0
org.apache.commons.io.FileCleaningTracker;5.0;0.0;0.0;8.0;7.0;1.0;1.0
org.apache.commons.io.filefilter.DelegateFileFilter;3.0;0.0;3.0;3.0;3.0;0.0;1.0
org.apache.commons.io.input.Tailer;12.0;0.0;12.0;13.0;11.0;1.0;1.0
org.apache.commons.io.filefilter.AndFileFilter;2.0;0.0;2.0;7.0;7.0;0.0;2.0
org.apache.commons.io.input.TeeInputStream;2.0;0.0;2.0;4.0;4.0;0.0;1.0
org.apache.commons.io.input.BoundedReader;6.0;0.0;6.0;5.0;5.0;0.0;1.0
org.apache.commons.io.input.WindowsLineEndingInputStream;6.0;0.0;6.0;5.0;3.0;2.0;2.0
org.apache.commons.io.output.ChunkedOutputStream;2.0;0.0;2.0;1.0;1.0;0.0;1.0
org.apache.commons.io.input.CharSequenceReader;4.0;0.0;4.0;8.0;8.0;0.0;1.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;1.0;0.0;1.0;1.0;1.0;0.0;0.0
org.apache.commons.io.comparator.DefaultFileComparator;3.0;2.0;1.0;1.0;1.0;0.0;0.0
org.apache.commons.io.filefilter.NameFileFilter;3.0;0.0;3.0;3.0;3.0;0.0;2.0
org.apache.commons.io.output.StringBuilderWriter;2.0;0.0;2.0;9.0;9.0;0.0;1.0
org.apache.commons.io.serialization.FullClassNameMatcher;1.0;0.0;1.0;1.0;1.0;0.0;0.0
org.apache.commons.io.output.TeeOutputStream;1.0;0.0;0.0;5.0;5.0;0.0;0.0
org.apache.commons.io.output.XmlStreamWriter;7.0;0.0;6.0;6.0;5.0;1.0;4.0
org.apache.commons.io.Charsets;6.0;6.0;0.0;3.0;3.0;0.0;0.0
org.apache.commons.io.output.CountingOutputStream;1.0;0.0;1.0;5.0;4.0;0.0;1.0
org.apache.commons.io.input.InfiniteCircularInputStream;2.0;0.0;2.0;1.0;1.0;0.0;0.0
org.apache.commons.io.output.DeferredFileOutputStream;7.0;0.0;7.0;7.0;5.0;0.0;1.0
org.apache.commons.io.comparator.CompositeFileComparator;3.0;0.0;3.0;2.0;2.0;0.0;1.0
org.apache.commons.io.output.ChunkedWriter;2.0;0.0;2.0;1.0;1.0;0.0;1.0
org.apache.commons.io.FileUtils;16.0;15.0;1.0;117.0;100.0;16.0;3.0
org.apache.commons.io.output.BrokenOutputStream;1.0;0.0;1.0;3.0;3.0;0.0;0.0
org.apache.commons.io.input.SwappedDataInputStream;0.0;0.0;0.0;15.0;15.0;0.0;1.0
org.apache.commons.io.output.TaggedOutputStream;1.0;0.0;1.0;3.0;2.0;0.0;0.0
org.apache.commons.io.comparator.SizeFileComparator;6.0;4.0;2.0;2.0;2.0;0.0;1.0
org.apache.commons.io.input.NullReader;7.0;0.0;7.0;13.0;10.0;1.0;1.0
org.apache.commons.io.filefilter.WildcardFilter;2.0;0.0;2.0;2.0;2.0;0.0;1.0
org.apache.commons.io.output.NullOutputStream;1.0;1.0;0.0;3.0;3.0;0.0;0.0
org.apache.commons.io.output.LockableFileWriter;3.0;0.0;3.0;10.0;7.0;3.0;1.0
org.apache.commons.io.filefilter.WildcardFileFilter;3.0;0.0;3.0;3.0;3.0;0.0;2.0
org.apache.commons.io.comparator.DirectoryFileComparator;3.0;2.0;1.0;2.0;1.0;1.0;1.0
org.apache.commons.io.output.WriterOutputStream;6.0;0.0;6.0;8.0;5.0;3.0;1.0
org.apache.commons.io.filefilter.MagicNumberFileFilter;3.0;0.0;3.0;2.0;2.0;0.0;2.0
org.apache.commons.io.input.BoundedInputStream;5.0;0.0;5.0;12.0;12.0;0.0;1.0
org.apache.commons.io.output.NullWriter;1.0;1.0;0.0;10.0;10.0;0.0;0.0
org.apache.commons.io.monitor.FileAlterationObserver;5.0;0.0;5.0;16.0;9.0;7.0;2.0
org.apache.commons.io.filefilter.FileFilterUtils;2.0;0.0;2.0;42.0;41.0;1.0;2.0
org.apache.commons.io.comparator.ReverseComparator;2.0;0.0;2.0;2.0;2.0;0.0;1.0
org.apache.commons.io.input.BOMInputStream;9.0;0.0;9.0;13.0;10.0;3.0;4.0
org.apache.commons.io.input.TaggedInputStream;1.0;0.0;1.0;3.0;2.0;0.0;0.0
org.apache.commons.io.filefilter.AbstractFileFilter;0.0;0.0;0.0;3.0;3.0;0.0;0.0
org.apache.commons.io.ByteOrderMark;9.0;6.0;3.0;7.0;7.0;0.0;1.0
org.apache.commons.io.filefilter.FileFileFilter;2.0;1.0;1.0;1.0;1.0;0.0;0.0
org.apache.commons.io.input.DemuxInputStream;1.0;0.0;1.0;3.0;3.0;0.0;1.0
org.apache.commons.io.output.ProxyOutputStream;0.0;0.0;0.0;8.0;5.0;0.0;0.0
org.apache.commons.io.filefilter.HiddenFileFilter;3.0;2.0;1.0;1.0;1.0;0.0;0.0
org.apache.commons.io.input.BrokenInputStream;1.0;0.0;1.0;5.0;5.0;0.0;0.0
org.apache.commons.io.FileExistsException;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.commons.io.filefilter.FalseFileFilter;3.0;2.0;1.0;2.0;2.0;0.0;0.0
org.apache.commons.io.filefilter.CanReadFileFilter;4.0;3.0;1.0;1.0;1.0;0.0;0.0
org.apache.commons.io.output.DemuxOutputStream;1.0;0.0;1.0;4.0;4.0;0.0;1.0
org.apache.commons.io.FilenameUtils;7.0;2.0;5.0;39.0;32.0;5.0;3.0
org.apache.commons.io.monitor.FileEntry;10.0;0.0;9.0;17.0;17.0;0.0;1.0
org.apache.commons.io.DirectoryWalker$CancelException;3.0;0.0;3.0;2.0;2.0;0.0;0.0
org.apache.commons.io.FileDeleteStrategy;3.0;2.0;1.0;4.0;3.0;0.0;1.0
org.apache.commons.io.FileSystemUtils;8.0;0.0;8.0;12.0;5.0;0.0;2.0
org.apache.commons.io.output.AppendableOutputStream;1.0;0.0;1.0;2.0;2.0;0.0;0.0
org.apache.commons.io.comparator.PathFileComparator;8.0;6.0;2.0;2.0;2.0;0.0;0.0
org.apache.commons.io.filefilter.SizeFileFilter;3.0;0.0;3.0;2.0;2.0;0.0;1.0
org.apache.commons.io.input.ReversedLinesFileReader;10.0;0.0;10.0;2.0;2.0;0.0;2.0
org.apache.commons.io.monitor.FileAlterationListenerAdaptor;0.0;0.0;0.0;8.0;8.0;0.0;0.0
org.apache.commons.io.filefilter.OrFileFilter;2.0;0.0;2.0;7.0;7.0;0.0;2.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream$MessageDigestMaintainingObserver;1.0;0.0;1.0;2.0;0.0;0.0;0.0
org.apache.commons.io.input.TailerListenerAdapter;0.0;0.0;0.0;6.0;6.0;0.0;0.0
org.apache.commons.io.filefilter.RegexFileFilter;2.0;0.0;2.0;1.0;1.0;0.0;1.0
org.apache.commons.io.output.CloseShieldOutputStream;0.0;0.0;0.0;1.0;1.0;0.0;0.0
org.apache.commons.io.output.ClosedOutputStream;1.0;1.0;0.0;2.0;2.0;0.0;0.0
org.apache.commons.io.input.ClosedInputStream;1.0;1.0;0.0;1.0;1.0;0.0;0.0
org.apache.commons.io.input.CountingInputStream;1.0;0.0;1.0;6.0;5.0;0.0;1.0
org.apache.commons.io.monitor.FileAlterationMonitor;5.0;0.0;5.0;9.0;9.0;0.0;1.0
org.apache.commons.io.ThreadMonitor;2.0;0.0;2.0;5.0;4.0;1.0;1.0
org.apache.commons.io.serialization.WildcardClassNameMatcher;1.0;0.0;1.0;1.0;1.0;0.0;0.0
org.apache.commons.io.FileCleaner;1.0;0.0;0.0;7.0;7.0;0.0;0.0
org.apache.commons.io.input.CharSequenceInputStream;7.0;0.0;7.0;10.0;9.0;1.0;2.0
org.apache.commons.io.filefilter.PrefixFileFilter;3.0;0.0;3.0;3.0;3.0;0.0;2.0
org.apache.commons.io.comparator.NameFileComparator;8.0;6.0;2.0;2.0;2.0;0.0;0.0
org.apache.commons.io.FileCleaningTracker$Reaper;0.0;0.0;0.0;1.0;1.0;0.0;1.0
org.apache.commons.io.FileDeleteStrategy$ForceFileDeleteStrategy;0.0;0.0;0.0;1.0;0.0;0.0;0.0
org.apache.commons.io.input.AutoCloseInputStream;0.0;0.0;0.0;3.0;1.0;0.0;1.0
org.apache.commons.io.input.ProxyInputStream;0.0;0.0;0.0;12.0;9.0;0.0;0.0
org.apache.commons.io.output.ThresholdingOutputStream;3.0;0.0;3.0;13.0;8.0;0.0;1.0
org.apache.commons.io.input.ClassLoaderObjectInputStream;1.0;0.0;1.0;2.0;0.0;0.0;0.0
org.apache.commons.io.filefilter.CanWriteFileFilter;3.0;2.0;1.0;1.0;1.0;0.0;0.0
